ean;ubicación;articulo;color;talla;posiciontalla;descripcion producto;descripcion color;temporada;;no.orden;cliente;nombre cliente;cantidad;servida;operario;status;fecha;hora;caja
8445962763983;01-011;2523HA02;000003;UNI;1;COMPLEMENTO UNISEX;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;13:59;CJ000304449
8445962736369;01-035;2522VS03;000003;M;3;VESTIDO CORTO MINI ESTAMPADO MANGA LARGA;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;1;0;000052;D;20251215;13:59;CJ000304449
8445962733320;01-046;2521PT18;000302;32;3;Jeans Slim Fit;AZUL OSC / DARK BLUE;I26;;1111087088;00000041;K41 - SANTANDER;1;0;000052;D;20251215;13:59;CJ000304449
8445962725752;01-055/057;2521JA00;000006;M;2;Cazadora Efecto Piel;AZUL / BLUE;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;13:59;CJ000304449
8445962725875;02-0001;2521JA00;000158;M;2;Cazadora Efecto Piel;VINO / WINE RED;I26;;1111087088;00000041;K41 - SANTANDER;2;2;000052;S;20251215;14:00;CJ000304449
8445962751553;02-018/022;2522TR15;000039;M;3;JERSEY MUJER PUNTO DETALLE METALIZADO;NAVY;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:00;CJ000304449
8445962749291;02-022;2521PL34;000003;L;3;Polo Manga Larga;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:00;CJ000304449
8445962732149;02-043/047;2521PT01;000003;30;2;Jeans Stretch Regular Fit Colores;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;2;2;000052;S;20251215;14:00;CJ000304449
8445962732156;02-043/047;2521PT01;000003;32;3;Jeans Stretch Regular Fit Colores;BLACK;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:00;CJ000304449
8445962741486;02-050/052;2522PT03;000010;38;3;JEANS MUJER SLIM DOBLE PUSH UP BORDADO;VERDE / GREEN;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:00;CJ000304449
8445962734693;02-057;2521PT27;000300;30;2;Jeans Stretch Regular Fit;AZUL CL / LIGHT BLUE;I26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:00;CJ000304449
8445962774248;03-001/005;2612PT05;000306;34;1;JEANS MUJER REGULAR TACHAS;BLACK DENIM;V26;;1111087088;00000041;K41 - SANTANDER;1;1;000052;S;20251215;14:00;CJ000304449
